split,exercise,person,trial,score,performance
train,E5,P7,T1,4.85,good
train,E5,P7,T2,4.9,good
train,E6,P0,T0,5.0,good
train,E6,P0,T1,5.0,good
train,E6,P0,T2,4.98,good
train,E6,P10,T0,4.96,good
train,E6,P10,T3,4.6,good
train,E6,P10,T4,3.44,bad
train,E6,P10,T5,4.3,good
train,E6,P10,T6,3.28,bad
train,E6,P14,T0,4.92,good
train,E6,P14,T3,3.8,bad
train,E6,P14,T4,3.96,bad
train,E6,P14,T5,4.1,good
train,E6,P14,T6,4.46,good
train,E6,P15,T0,4.84,good
train,E6,P15,T3,4.34,good
train,E6,P15,T4,3.1,bad
train,E6,P15,T5,3.2,bad
train,E6,P15,T6,3.86,bad
train,E6,P2,T0,4.9,good
train,E6,P2,T1,4.82,good
train,E6,P2,T2,4.96,good
train,E6,P3,T0,4.96,good
train,E6,P3,T1,4.96,good
train,E6,P3,T2,4.98,good
train,E6,P4,T0,5.0,good
train,E6,P4,T1,5.0,good
train,E6,P5,T0,5.0,good
train,E6,P5,T1,4.96,good
train,E6,P5,T2,5.0,good
train,E6,P7,T0,5.0,good
train,E6,P7,T1,5.0,good
train,E6,P7,T2,5.0,good
train,E8,P0,T0,4.96,good
train,E8,P0,T1,4.9,good
train,E8,P0,T2,4.9,good
train,E8,P10,T0,4.48,good
train,E8,P10,T3,3.8,bad
train,E8,P10,T4,4.12,good
train,E8,P10,T5,3.84,bad
train,E8,P10,T6,3.7,bad
train,E8,P14,T0,4.625,good
train,E8,P14,T3,3.5,bad
train,E8,P14,T4,3.45,bad
train,E8,P14,T5,3.0,bad
train,E8,P14,T6,4.675,good
train,E8,P15,T0,4.9,good
train,E8,P15,T3,4.1,good
train,E8,P15,T4,2.88,bad
train,E8,P15,T5,2.98,bad
train,E8,P15,T6,2.58,bad
train,E8,P4,T0,4.9,good
train,E8,P4,T1,4.84,good
train,E8,P4,T2,4.84,good
train,E8,P5,T0,4.8,good
train,E8,P5,T1,4.82,good
train,E8,P5,T2,4.9,good
train,E8,P7,T0,4.9,good
train,E8,P7,T1,4.9,good
train,E8,P7,T2,4.9,good
valid,E0,P11,T0,3.56,bad
valid,E0,P11,T3,2.72,bad
valid,E0,P11,T4,2.6,bad
valid,E0,P11,T5,2.38,bad
valid,E0,P11,T6,2.28,bad
valid,E0,P1,T0,4.68,good
valid,E0,P1,T1,4.64,good
valid,E0,P6,T0,4.28,good
valid,E0,P6,T1,4.22,good
valid,E0,P6,T2,3.82,bad
valid,E1,P11,T0,4.475,good
valid,E1,P11,T3,3.72,bad
valid,E1,P11,T4,2.85,bad
valid,E1,P11,T5,3.2,bad
valid,E1,P11,T6,2.88,bad
valid,E1,P1,T0,4.94,good
valid,E1,P1,T1,4.94,good
valid,E1,P1,T2,4.94,good
valid,E1,P6,T0,4.42,good
valid,E1,P6,T1,4.4,good
valid,E1,P6,T2,4.06,good
valid,E2,P11,T0,3.9,bad
valid,E2,P11,T3,2.66,bad
valid,E2,P11,T4,3.26,bad
valid,E2,P11,T5,3.64,bad
valid,E2,P11,T6,2.86,bad
valid,E2,P1,T0,5.0,good
valid,E2,P1,T1,4.96,good
valid,E2,P1,T2,5.0,good
valid,E2,P6,T0,4.72,good
valid,E2,P6,T1,4.76,good
valid,E4,P11,T0,4.0,good
valid,E4,P11,T3,2.74,bad
valid,E4,P11,T4,3.12,bad
valid,E4,P11,T5,3.2,bad
valid,E4,P11,T6,2.64,bad
valid,E4,P1,T0,4.74,good
valid,E4,P1,T1,4.82,good
valid,E4,P1,T2,4.82,good
valid,E4,P6,T0,4.5,good
valid,E4,P6,T1,4.66,good
valid,E4,P6,T2,4.64,good
valid,E5,P11,T0,4.76,good
valid,E5,P11,T3,3.72,bad
valid,E5,P11,T4,3.975,bad
valid,E5,P11,T5,4.06,good
valid,E5,P11,T6,3.8,bad
valid,E5,P1,T0,4.78,good
valid,E5,P1,T1,4.86,good
valid,E5,P1,T2,4.86,good
valid,E5,P6,T0,4.825,good
valid,E5,P6,T1,4.825,good
valid,E5,P6,T2,4.825,good
valid,E6,P11,T0,4.72,good
valid,E6,P11,T3,4.06,good
valid,E6,P11,T4,3.98,bad
valid,E6,P11,T5,3.6,bad
valid,E6,P11,T6,3.62,bad
valid,E6,P1,T0,4.86,good
valid,E6,P1,T1,4.84,good
valid,E6,P1,T2,4.84,good
valid,E6,P6,T0,4.94,good
valid,E6,P6,T2,4.96,good
valid,E8,P1,T0,4.9,good
valid,E8,P1,T1,4.9,good
valid,E8,P1,T2,4.9,good
valid,E8,P6,T0,4.9,good
valid,E8,P6,T1,4.9,good
valid,E8,P6,T2,4.9,good
test,E0,P12,T0,3.58,bad
test,E0,P12,T3,2.8,bad
test,E0,P12,T4,3.44,bad
test,E0,P12,T5,2.3,bad
test,E0,P12,T6,2.52,bad
test,E0,P13,T0,3.92,bad
test,E0,P13,T3,3.22,bad
test,E0,P13,T4,2.84,bad
test,E0,P13,T5,3.34,bad
test,E0,P13,T6,3.18,bad
test,E0,P8,T0,4.68,good
test,E0,P8,T1,4.58,good
test,E0,P8,T2,4.7,good
test,E0,P9,T0,4.16,good
test,E0,P9,T1,4.1,good
test,E0,P9,T2,4.75,good
test,E1,P12,T0,4.375,good
test,E1,P12,T3,2.66,bad
test,E1,P12,T4,3.48,bad
test,E1,P12,T5,3.1,bad
test,E1,P12,T6,3.28,bad
test,E1,P8,T0,4.7,good
test,E1,P8,T1,4.8,good
test,E1,P8,T2,4.9,good
test,E1,P9,T0,4.88,good
test,E1,P9,T1,4.875,good
test,E1,P9,T2,5.0,good
test,E2,P12,T0,4.1,good
test,E2,P12,T3,3.6,bad
test,E2,P12,T4,3.22,bad
test,E2,P12,T5,2.64,bad
test,E2,P12,T6,3.14,bad
test,E2,P8,T0,4.94,good
test,E2,P8,T1,4.94,good
test,E2,P9,T0,4.62,good
test,E2,P9,T1,4.78,good
test,E4,P12,T0,3.92,bad
test,E4,P12,T3,2.7,bad
test,E4,P12,T4,2.18,bad
test,E4,P12,T5,2.58,bad
test,E4,P8,T0,4.3,good
test,E4,P8,T1,4.36,good
test,E4,P8,T2,4.04,good
test,E4,P9,T0,4.06,good
test,E4,P9,T1,3.7,bad
test,E4,P9,T2,4.3,good
test,E5,P13,T0,4.8,good
test,E5,P13,T3,4.28,good
test,E5,P13,T4,3.8,bad
test,E5,P13,T5,3.18,bad
test,E5,P13,T6,3.24,bad
test,E5,P8,T0,4.675,good
test,E5,P8,T1,4.7,good
test,E5,P8,T2,4.725,good
test,E5,P9,T0,4.475,good
test,E5,P9,T1,4.625,good
test,E5,P9,T2,4.45,good
test,E6,P13,T0,4.84,good
test,E6,P13,T3,3.9,bad
test,E6,P13,T4,3.78,bad
test,E6,P13,T5,3.3,bad
test,E6,P13,T6,3.56,bad
test,E6,P8,T0,5.0,good
test,E6,P8,T1,5.0,good
test,E6,P8,T2,5.0,good
test,E6,P9,T0,5.0,good
test,E6,P9,T1,5.0,good
test,E6,P9,T2,5.0,good
test,E8,P13,T0,4.66,good
test,E8,P13,T3,3.88,bad
test,E8,P13,T4,3.25,bad
test,E8,P13,T5,3.5,bad
test,E8,P13,T6,2.425,bad
test,E8,P8,T0,4.88,good
test,E8,P8,T1,4.88,good
test,E8,P8,T2,4.9,good
test,E8,P9,T0,4.8,good
test,E8,P9,T1,4.8,good
test,E8,P9,T2,4.76,good
